trajectory_id,cancer_type,therapy_class,pattern_id,trajectory_pattern,p4_variant,dominant_failure_mode,authorization_dependency,n_visits,action_path,evidence_status_path
OGR_V040_TRJ_011,NSCLC,HER2_directed_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_012,NSCLC,HER2_directed_therapy,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_013,NSCLC,PARP_platinum_based_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_014,NSCLC,PARP_platinum_based_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_015,NSCLC,PARP_platinum_based_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_016,NSCLC,PARP_platinum_based_therapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_017,NSCLC,cytotoxic_chemotherapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_018,NSCLC,cytotoxic_chemotherapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_019,NSCLC,cytotoxic_chemotherapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_020,NSCLC,cytotoxic_chemotherapy,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_021,breast_cancer,immune_checkpoint_inhibitor,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_022,breast_cancer,immune_checkpoint_inhibitor,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_023,breast_cancer,immune_checkpoint_inhibitor,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_024,breast_cancer,immune_checkpoint_inhibitor,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_025,breast_cancer,targeted_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_026,breast_cancer,targeted_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_027,breast_cancer,targeted_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_028,breast_cancer,targeted_therapy,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_029,breast_cancer,HER2_directed_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_030,breast_cancer,HER2_directed_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_031,breast_cancer,HER2_directed_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_032,breast_cancer,HER2_directed_therapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_033,breast_cancer,PARP_platinum_based_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_034,breast_cancer,PARP_platinum_based_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_035,breast_cancer,PARP_platinum_based_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_036,breast_cancer,PARP_platinum_based_therapy,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_037,breast_cancer,cytotoxic_chemotherapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_038,breast_cancer,cytotoxic_chemotherapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_039,breast_cancer,cytotoxic_chemotherapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_040,breast_cancer,cytotoxic_chemotherapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_041,colorectal_cancer,immune_checkpoint_inhibitor,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_042,colorectal_cancer,immune_checkpoint_inhibitor,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_043,colorectal_cancer,immune_checkpoint_inhibitor,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_044,colorectal_cancer,immune_checkpoint_inhibitor,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_045,colorectal_cancer,targeted_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_046,colorectal_cancer,targeted_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_047,colorectal_cancer,targeted_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_048,colorectal_cancer,targeted_therapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_049,colorectal_cancer,HER2_directed_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_050,colorectal_cancer,HER2_directed_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_051,colorectal_cancer,HER2_directed_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_052,colorectal_cancer,HER2_directed_therapy,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_053,colorectal_cancer,PARP_platinum_based_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_054,colorectal_cancer,PARP_platinum_based_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_055,colorectal_cancer,PARP_platinum_based_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_056,colorectal_cancer,PARP_platinum_based_therapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_057,colorectal_cancer,cytotoxic_chemotherapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_058,colorectal_cancer,cytotoxic_chemotherapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_059,colorectal_cancer,cytotoxic_chemotherapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_060,colorectal_cancer,cytotoxic_chemotherapy,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_061,melanoma,immune_checkpoint_inhibitor,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_062,melanoma,immune_checkpoint_inhibitor,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_063,melanoma,immune_checkpoint_inhibitor,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_064,melanoma,immune_checkpoint_inhibitor,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_065,melanoma,targeted_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_066,melanoma,targeted_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_067,melanoma,targeted_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_068,melanoma,targeted_therapy,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_069,melanoma,HER2_directed_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_070,melanoma,HER2_directed_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_071,melanoma,HER2_directed_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_072,melanoma,HER2_directed_therapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_073,melanoma,PARP_platinum_based_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_074,melanoma,PARP_platinum_based_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_075,melanoma,PARP_platinum_based_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_076,melanoma,PARP_platinum_based_therapy,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_077,melanoma,cytotoxic_chemotherapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_078,melanoma,cytotoxic_chemotherapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_079,melanoma,cytotoxic_chemotherapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_080,melanoma,cytotoxic_chemotherapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_081,ovarian_cancer,immune_checkpoint_inhibitor,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_082,ovarian_cancer,immune_checkpoint_inhibitor,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_083,ovarian_cancer,immune_checkpoint_inhibitor,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_084,ovarian_cancer,immune_checkpoint_inhibitor,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_085,ovarian_cancer,targeted_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_086,ovarian_cancer,targeted_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_087,ovarian_cancer,targeted_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_088,ovarian_cancer,targeted_therapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
