policy_name,trajectory_id,title,visit_number,previous_expected_action,expected_action,policy_selected_action,evidence_state_inferred,evidence_status_stage_adjusted,failure_being_tested,authorization_dependency,conservative_margin_trigger,ptmar_flag,aacr_flag,defer_flag,unsafe_authorization_flag,over_deferral_flag,correct_authorization_flag
permissive,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_012,Over-treatment from weak isolated progression signal,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
permissive,OGR_TRJ_012,Over-treatment from weak isolated progression signal,2,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
standard,OGR_TRJ_012,Over-treatment from weak isolated progression signal,2,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_012,Over-treatment from weak isolated progression signal,2,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
permissive,OGR_TRJ_012,Over-treatment from weak isolated progression signal,3,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
standard,OGR_TRJ_012,Over-treatment from weak isolated progression signal,3,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_012,Over-treatment from weak isolated progression signal,3,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
permissive,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,False,True,False,False,False,True
standard,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,False,True,False,False,False,True
permissive,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,2,continue_therapy,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,True,False,False,True,False,False
standard,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,2,continue_therapy,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,False,True,True,False,False,True
conservative_margin,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,2,continue_therapy,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,False,True,True,False,False,True
permissive,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,3,escalate_evaluation,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,False,True,False,False,False,True
standard,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,3,escalate_evaluation,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,3,escalate_evaluation,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,none,False,True,False,False,False,True
permissive,OGR_TRJ_014,False emergency overreaction to mild symptoms,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,none,False,True,False,False,False,True
standard,OGR_TRJ_014,False emergency overreaction to mild symptoms,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_014,False emergency overreaction to mild symptoms,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,none,False,True,False,False,False,True
permissive,OGR_TRJ_014,False emergency overreaction to mild symptoms,2,continue_therapy,escalate_evaluation,continue_therapy,incomplete_toxicity_assessment,unresolved_needs_more_evidence,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,none,True,False,False,True,False,False
standard,OGR_TRJ_014,False emergency overreaction to mild symptoms,2,continue_therapy,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,none,False,True,True,False,False,True
conservative_margin,OGR_TRJ_014,False emergency overreaction to mild symptoms,2,continue_therapy,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,none,False,True,True,False,False,True
permissive,OGR_TRJ_014,False emergency overreaction to mild symptoms,3,escalate_evaluation,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,none,False,True,False,False,False,True
standard,OGR_TRJ_014,False emergency overreaction to mild symptoms,3,escalate_evaluation,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_014,False emergency overreaction to mild symptoms,3,escalate_evaluation,continue_therapy,escalate_evaluation,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,post_noncontinuation_safety_margin,False,False,True,False,True,False
permissive,OGR_TRJ_015,Under-treatment despite confirmed progression,1,none_first_visit,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,False,True,False,False,False,True
standard,OGR_TRJ_015,Under-treatment despite confirmed progression,1,none_first_visit,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_015,Under-treatment despite confirmed progression,1,none_first_visit,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,False,True,False,False,False,True
permissive,OGR_TRJ_015,Under-treatment despite confirmed progression,2,continue_therapy,escalate_evaluation,continue_therapy,other_authorization_dependency,unresolved_needs_more_evidence,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,True,False,False,True,False,False
standard,OGR_TRJ_015,Under-treatment despite confirmed progression,2,continue_therapy,escalate_evaluation,escalate_evaluation,other_authorization_dependency,unresolved_needs_more_evidence,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,False,True,True,False,False,True
conservative_margin,OGR_TRJ_015,Under-treatment despite confirmed progression,2,continue_therapy,escalate_evaluation,escalate_evaluation,other_authorization_dependency,unresolved_needs_more_evidence,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,False,True,True,False,False,True
permissive,OGR_TRJ_015,Under-treatment despite confirmed progression,3,escalate_evaluation,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,False,True,False,False,False,True
standard,OGR_TRJ_015,Under-treatment despite confirmed progression,3,escalate_evaluation,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_015,Under-treatment despite confirmed progression,3,escalate_evaluation,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,none,False,True,False,False,False,True
permissive,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
standard,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
permissive,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,2,continue_therapy,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
standard,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,2,continue_therapy,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,2,continue_therapy,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
permissive,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,3,continue_therapy,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
standard,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,3,continue_therapy,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,3,continue_therapy,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,none,False,True,False,False,False,True
permissive,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,1,none_first_visit,escalate_evaluation,continue_therapy,incomplete_toxicity_assessment,unresolved_needs_more_evidence,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,True,False,False,True,False,False
standard,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,1,none_first_visit,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,False,True,True,False,False,True
conservative_margin,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,1,none_first_visit,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,False,True,True,False,False,True
permissive,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,2,escalate_evaluation,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,False,True,False,False,False,True
standard,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,2,escalate_evaluation,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,2,escalate_evaluation,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,False,True,False,False,False,True
permissive,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,3,emergency_toxicity_management,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,False,True,False,False,False,True
standard,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,3,emergency_toxicity_management,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,3,emergency_toxicity_management,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,none,False,True,False,False,False,True
permissive,OGR_TRJ_018,Missing resistance data before therapy switch,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,False,True,False,False,False,True
standard,OGR_TRJ_018,Missing resistance data before therapy switch,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_018,Missing resistance data before therapy switch,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,False,True,False,False,False,True
permissive,OGR_TRJ_018,Missing resistance data before therapy switch,2,continue_therapy,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,True,False,False,True,False,False
standard,OGR_TRJ_018,Missing resistance data before therapy switch,2,continue_therapy,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,False,True,True,False,False,True
conservative_margin,OGR_TRJ_018,Missing resistance data before therapy switch,2,continue_therapy,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,False,True,True,False,False,True
permissive,OGR_TRJ_018,Missing resistance data before therapy switch,3,escalate_evaluation,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,False,True,False,False,False,True
standard,OGR_TRJ_018,Missing resistance data before therapy switch,3,escalate_evaluation,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_018,Missing resistance data before therapy switch,3,escalate_evaluation,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,none,False,True,False,False,False,True
permissive,OGR_TRJ_019,Patient preference conflicting with safety evidence,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,none,False,True,False,False,False,True
standard,OGR_TRJ_019,Patient preference conflicting with safety evidence,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_019,Patient preference conflicting with safety evidence,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,none,False,True,False,False,False,True
permissive,OGR_TRJ_019,Patient preference conflicting with safety evidence,2,continue_therapy,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,none,False,True,False,False,False,True
standard,OGR_TRJ_019,Patient preference conflicting with safety evidence,2,continue_therapy,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_019,Patient preference conflicting with safety evidence,2,continue_therapy,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,none,False,True,False,False,False,True
permissive,OGR_TRJ_019,Patient preference conflicting with safety evidence,3,hold_therapy,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,none,False,True,False,False,False,True
standard,OGR_TRJ_019,Patient preference conflicting with safety evidence,3,hold_therapy,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_019,Patient preference conflicting with safety evidence,3,hold_therapy,continue_therapy,escalate_evaluation,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,post_noncontinuation_safety_margin,False,False,True,False,True,False
permissive,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,none,False,True,False,False,False,True
standard,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,1,none_first_visit,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,none,False,True,False,False,False,True
