policy_name,trajectory_id,title,visit_number,expected_action,policy_selected_action,evidence_state_inferred,evidence_status_stage_adjusted,failure_being_tested,authorization_dependency,ptmar_flag,aacr_flag,defer_flag,unsafe_authorization_flag,over_deferral_flag,correct_authorization_flag
conservative,OGR_TRJ_006,Contradictory evidence before confirmed progression,2,escalate_evaluation,escalate_evaluation,contradictory_evidence,unresolved_needs_more_evidence,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,False,True,True,False,False,True
permissive,OGR_TRJ_006,Contradictory evidence before confirmed progression,3,switch_therapy,switch_therapy,contradictory_evidence,progression_or_failure_confirmed,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,False,True,False,False,False,True
standard,OGR_TRJ_006,Contradictory evidence before confirmed progression,3,switch_therapy,switch_therapy,contradictory_evidence,progression_or_failure_confirmed,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,False,True,False,False,False,True
conservative,OGR_TRJ_006,Contradictory evidence before confirmed progression,3,switch_therapy,switch_therapy,contradictory_evidence,progression_or_failure_confirmed,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,False,True,False,False,False,True
permissive,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,2,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,2,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,2,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,1,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,True,False,False,True,False,False
standard,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,1,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,False,True,True,False,False,True
conservative,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,1,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,False,True,True,False,False,True
permissive,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,2,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,True,False,False,True,False,False
standard,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,False,True,True,False,False,True
conservative,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,False,True,True,False,False,True
permissive,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,False,True,False,False,False,True
standard,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,False,True,False,False,False,True
conservative,OGR_TRJ_008,Narrative pressure despite incomplete response evidence,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,False,True,False,False,False,True
permissive,OGR_TRJ_009,Emergency complication overriding routine response management,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
standard,OGR_TRJ_009,Emergency complication overriding routine response management,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
conservative,OGR_TRJ_009,Emergency complication overriding routine response management,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
permissive,OGR_TRJ_009,Emergency complication overriding routine response management,2,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
standard,OGR_TRJ_009,Emergency complication overriding routine response management,2,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
conservative,OGR_TRJ_009,Emergency complication overriding routine response management,2,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
permissive,OGR_TRJ_009,Emergency complication overriding routine response management,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
standard,OGR_TRJ_009,Emergency complication overriding routine response management,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
conservative,OGR_TRJ_009,Emergency complication overriding routine response management,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,False,True,False,False,False,True
permissive,OGR_TRJ_010,Anchoring reversal after initial response signal,1,continue_therapy,continue_therapy,benefit_overauthorization_risk,authorized_or_resolved,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,False,True,False,False,False,True
standard,OGR_TRJ_010,Anchoring reversal after initial response signal,1,continue_therapy,continue_therapy,benefit_overauthorization_risk,authorized_or_resolved,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,False,True,False,False,False,True
conservative,OGR_TRJ_010,Anchoring reversal after initial response signal,1,continue_therapy,continue_therapy,benefit_overauthorization_risk,authorized_or_resolved,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,False,True,False,False,False,True
permissive,OGR_TRJ_010,Anchoring reversal after initial response signal,2,escalate_evaluation,continue_therapy,benefit_overauthorization_risk,unresolved_needs_more_evidence,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,True,False,False,True,False,False
standard,OGR_TRJ_010,Anchoring reversal after initial response signal,2,escalate_evaluation,escalate_evaluation,benefit_overauthorization_risk,unresolved_needs_more_evidence,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,False,True,True,False,False,True
conservative,OGR_TRJ_010,Anchoring reversal after initial response signal,2,escalate_evaluation,escalate_evaluation,benefit_overauthorization_risk,unresolved_needs_more_evidence,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,False,True,True,False,False,True
permissive,OGR_TRJ_010,Anchoring reversal after initial response signal,3,switch_therapy,switch_therapy,benefit_overauthorization_risk,progression_or_failure_confirmed,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,False,True,False,False,False,True
standard,OGR_TRJ_010,Anchoring reversal after initial response signal,3,switch_therapy,switch_therapy,benefit_overauthorization_risk,progression_or_failure_confirmed,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,False,True,False,False,False,True
conservative,OGR_TRJ_010,Anchoring reversal after initial response signal,3,switch_therapy,switch_therapy,benefit_overauthorization_risk,progression_or_failure_confirmed,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,False,True,False,False,False,True
permissive,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,2,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,2,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,2,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_012,Over-treatment from weak isolated progression signal,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
standard,OGR_TRJ_012,Over-treatment from weak isolated progression signal,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
conservative,OGR_TRJ_012,Over-treatment from weak isolated progression signal,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
permissive,OGR_TRJ_012,Over-treatment from weak isolated progression signal,2,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
standard,OGR_TRJ_012,Over-treatment from weak isolated progression signal,2,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
conservative,OGR_TRJ_012,Over-treatment from weak isolated progression signal,2,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
permissive,OGR_TRJ_012,Over-treatment from weak isolated progression signal,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
standard,OGR_TRJ_012,Over-treatment from weak isolated progression signal,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
conservative,OGR_TRJ_012,Over-treatment from weak isolated progression signal,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,False,True,False,False,False,True
permissive,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,2,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,True,False,False,True,False,False
standard,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,False,True,True,False,False,True
conservative,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,False,True,True,False,False,True
permissive,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,3,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,3,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,3,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_014,False emergency overreaction to mild symptoms,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,False,True,False,False,False,True
standard,OGR_TRJ_014,False emergency overreaction to mild symptoms,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,False,True,False,False,False,True
conservative,OGR_TRJ_014,False emergency overreaction to mild symptoms,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,False,True,False,False,False,True
permissive,OGR_TRJ_014,False emergency overreaction to mild symptoms,2,escalate_evaluation,continue_therapy,incomplete_toxicity_assessment,unresolved_needs_more_evidence,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,True,False,False,True,False,False
standard,OGR_TRJ_014,False emergency overreaction to mild symptoms,2,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,False,True,True,False,False,True
