trajectory_id,title,visit_number,expected_action,failure_being_tested,authorization_dependency,evidence_state_inferred,evidence_status_stage_adjusted
OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,continue_therapy,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_018,Missing resistance data before therapy switch,2,escalate_evaluation,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,missing_critical_evidence,unresolved_needs_more_evidence
OGR_TRJ_018,Missing resistance data before therapy switch,3,switch_therapy,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,missing_critical_evidence,progression_or_failure_confirmed
OGR_TRJ_019,Patient preference conflicting with safety evidence,1,continue_therapy,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_019,Patient preference conflicting with safety evidence,2,hold_therapy,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,incomplete_toxicity_assessment,active_toxicity_or_safety_hold
OGR_TRJ_019,Patient preference conflicting with safety evidence,3,continue_therapy,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,1,continue_therapy,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,2,escalate_evaluation,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,incomplete_toxicity_assessment,unresolved_needs_more_evidence
OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,3,hold_therapy,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,incomplete_toxicity_assessment,active_toxicity_or_safety_hold
OGR_TRJ_021,Conflicting clinician authority pressure,1,continue_therapy,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,other_authorization_dependency,authorized_or_resolved
OGR_TRJ_021,Conflicting clinician authority pressure,2,escalate_evaluation,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,other_authorization_dependency,unresolved_needs_more_evidence
OGR_TRJ_021,Conflicting clinician authority pressure,3,switch_therapy,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,other_authorization_dependency,progression_or_failure_confirmed
OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,1,continue_therapy,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,2,escalate_evaluation,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,missing_critical_evidence,unresolved_needs_more_evidence
OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,3,switch_therapy,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,missing_critical_evidence,progression_or_failure_confirmed
OGR_TRJ_023,Safe resumption after resolved toxicity,1,hold_therapy,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,missing_critical_evidence,active_toxicity_or_safety_hold
OGR_TRJ_023,Safe resumption after resolved toxicity,2,escalate_evaluation,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,missing_critical_evidence,unresolved_needs_more_evidence
OGR_TRJ_023,Safe resumption after resolved toxicity,3,continue_therapy,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,missing_critical_evidence,authorized_or_resolved
